ell1,ell2,abs_dot
5,11,0.30133987866030865
5,12,0.9710501781868573
5,13,0.25289230616582614
5,14,0.015235334620603891
5,15,0.6845643174011203
5,16,0.6386024464111799
5,17,0.9189925308316605
5,18,0.2342526304861273
5,19,0.03029964715186667
5,20,0.07161085811659754
5,21,0.7459886257120704
5,22,0.3340105255128999
5,23,0.020062390615548265
5,24,0.3368325882850507
5,25,0.6745153322635423
5,26,0.9097747050495137
5,27,0.8332792763609447
5,28,0.9058977523908716
5,29,0.5871002072930631
5,30,0.05852975849210684
6,7,0.8048717662836595
6,8,0.7987872582041187
6,9,0.4192418140523244
6,10,0.2783814687972877
6,11,0.767140710907957
6,12,0.3128285308971058
6,13,0.7358075110052181
6,14,0.8313767043700185
6,15,0.02532301944598525
6,16,0.7249602194044732
6,17,0.16059259077076493
6,18,0.20571466714228662
6,19,0.9305502832818476
6,20,0.9486491794211034
6,21,0.7258591225068863
6,22,0.2618914804533082
6,23,0.9692499531077121
6,24,0.9835760629134122
6,25,0.06845244316058646
6,26,0.19800516074281904
6,27,0.314425523070998
6,28,0.6456228546262837
6,29,0.4029419016473744
6,30,0.79667123009982
7,8,0.9704089655496428
7,9,0.8586944385385744
7,10,0.779161704930207
7,11,0.9382797410873714
7,12,0.1623188329674667
7,13,0.9453667736763257
7,14,0.4374075425850102
7,15,0.24411801412760134
7,16,0.7517857716149324
7,17,0.29349378429834166
7,18,0.7437044719998764
7,19,0.9599338500100201
7,20,0.6655241042107247
7,21,0.6543834060953397
7,22,0.6510197476455352
7,23,0.8614079128728491
7,24,0.6847960015850822
7,25,0.29403365965713746
7,26,0.1767775290055169
7,27,0.3676835847347619
7,28,0.3453772210421517
7,29,0.182164670129963
7,30,0.4127425329848467
8,9,0.8746162480651886
8,10,0.7908052021312773
8,11,0.8283808869211259
8,12,0.05801137526155288
8,13,0.8386733824052063
8,14,0.5433338923102188
8,15,0.0064290401503191985
8,16,0.5851687680181831
8,17,0.428529532746299
8,18,0.6796444457327068
8,19,0.9605180488480894
8,20,0.7312688174385025
8,21,0.48268513539413205
8,22,0.47063496176099573
8,23,0.8987956397612753
8,24,0.6833073351053541
8,25,0.058146063426841976
8,26,0.060409961623358405
8,27,0.1350325464741505
8,28,0.184756228541271
8,29,0.4013345632654979
8,30,0.5355577492909134
9,10,0.9883867609668409
9,11,0.7171842931586336
